,Count,Action,Side Dish 1,Side Dish 2,Side Dish 3
tofu and vegetables (excluding carrots,12,Can convert to tofu and vegetables,tofu,vegetables,
cobbler,12,,,,
fruit salad,12,,,,
dark-green leafy vegetable soup,12,Can convert to soup,vegetables,soup,
pasta,12,Can convert to noodles,noodles,,
margarita,12,,,,
pizza with meat and vegetables,12,Can convert to pizza,pizza,meat,vegetables
chicken or turkey chow mein or chop suey with noodles,12,can convert to poultry and noodles,poultry,noodles,
tomato and onion,12,can convert to tomato and onion,tomato,onions,
hummus,12,,,,
cola with fruit or vanilla flavor,12,can convert to soft drink,soft drink,,
bread stick,12,Can convert to bread,bread,,
macaroni or pasta salad,12,Can convert to noodles,noodles,,
gravy or sauce,12,can convert to sauce,sauce,,
noodle soup,12,Can convert to soup,noodles,soup,
couscous,12,,,,
lemon-butter sauce,11,,,,
ravioli,11,Can convert to noodles,noodles,,
gelatin dessert with fruit,11,,,,
chewing gum,11,,,,
ice pop,11,,,,
chicken or turkey noodle soup,11,"Can convert to poultry, noodles, soup",poultry,noodles,soup
milk shake,11,can convert to milk,milk,,
general tso chicken,11,Can convert to poultry,poultry,,
turnip greens,11,,,,
peas and carrots,11,can convert to peas and carrots,peas,carrots,
chicken drumstick,11,Can convert to poultry,poultry,,
salsa verde or salsa,11,can convert to salsa,salsa,,
vegetable combinations (including carrots,11,can convert to vegetables,vegetables,,
fruit smoothie,11,,,,
topping,11,,,,
plum,11,,,,
seaweed soup,11,Can convert to soup,seaweed,soup,
garlic,10,,,,
gatorade g sports drink,10,Change name to consolidate with other gatorade,gatorade,,
red beans and rice,10,"Can be converted to ‘rice’, and ‘beans’",rice,beans,
bitter melon,10,,,,
cornbread muffin,10,Can convert to bread,bread,,
tomato sauce,10,There is a tomato sauce already,tomato sauce,,
cheese spread,10,can convert to cheese,cheese,,
sesame seeds,10,,,,
chicken wing,10,can convert to poultry,poultry,,
pad thai with chicken,10,"can convert to noodles, poultry",poultry,noodles,
bean soup,10,"can convert to beans, soup",beans,soup,
chicken noodle soup,10,"can convert to poultry, noodles, soup",poultry,noodles,soup
rice with vegetables (excluding carrots,10,Can be converted to ‘rice’ and ‘vegetables’,rice,vegetables,
nuts,10,,,,
pecans,10,,,,
chicken or turkey loaf,10,can convert to poultry,poultry,,
sweet and sour pork,10,can convert to pork,pork,,
oyster-flavored sauce,10,,,,
green tomato-chile sauce,10,,,,
rice with vegetables,9,,,,
cranberry juice blend,9,,,,
chicken or turkey salad,9,,,,
custard,9,,,,
dark-green leafy vegetable soup with meat,9,,,,
persimmon,9,,,,
brown rice,9,,,,
pork with vegetable (excluding carrots,9,,,,
chicken wing with hot pepper sauce,9,,,,
chicken or turkey broth,9,,,,
jams,9,,,,
ice cream bar or stick,9,,,,
italian sausage,9,,,,
fondant,9,,,,
tomato and cucumber salad made with tomato,9,,,,
mousse,9,,,,
cassava (yuca blanca),9,,,,
ham or pork with barbecue sauce (mixture),9,,,,
powerade sports drink,9,,,,
cashew nuts,9,,,,
kiwi fruit,9,,,,
rice noodles,9,,,,
rum,9,,,,
beef chow mein or chop suey with noodles,8,,,,
garlic sauce,8,,,,
papaya,8,,,,
sherbet,8,,,,
cake made with glutinous rice,8,,,,
"chicken ""wings"" with other sauces or seasoning",8,,,,
steak teriyaki with sauce (mixture),8,,,,
lima beans,8,,,,
potato soup,8,,,,
cabbage salad or coleslaw with apples and/or raisins,8,,,,
guacamole with tomatoes,8,,,,
bologna,8,,,,
vegetable and fruit juice drink,8,,,,
chicken or turkey and noodles,8,,,,
sangria,8,,,,
sushi,8,,,,
barley,8,,,,
snack cake,8,,,,
vegetable tempura,8,,,,
tomato and vegetable juice,8,,,,
maple and corn and/or cane pancake syrup blends (formerly corn and maple syrup (2% maple)),8,,,,
fajita with beef and vegetables,8,,,,
rice with beans w/o fat,8,,,,
lasagna with meat,8,,,,
pizza with meat,8,,,,
kung pao chicken,8,,,,
cranberry juice drink,8,,,,
oatmeal,8,,,,
dirty rice,8,,,,
sopa de fideo aguada,8,,,,
polish sausage,8,,,,
winter melon,8,,,,
spinach dip,8,,,,
pancakes,8,,,,
focaccia,7,,,,
beef with barbecue sauce (mixture),7,,,,
cabbage soup,7,,,,
pesto sauce,7,,,,
cocoa and sugar mixture,7,,,,
fruit juice,7,,,,
gumdrops,7,,,,
pork or ham with soy-based sauce (mixture),7,,,,
bamboo shoots,7,,,,
taffy,7,,,,
fajita with meat and vegetables,7,,,,
nectarine,7,,,,
general tso (general gau) chicken,7,,,,
ham and pork,7,,,,
mixed vegetables,7,,,,
tiramisu,7,,,,
apple cider,7,,,,
snickers bar,7,,,,
black bean sauce,7,,,,
beans and tomatoes,7,,,,
blackberries,7,,,,
coffee creamer,7,,,,
tofu and vegetables (including carrots,7,,,,
long island iced tea,7,,,,
frozen margarita,7,,,,
grapefruit,7,,,,
martini,7,,,,
beef with soy-based sauce (mixture),7,,,,
cafe con leche,7,,,,
jam,7,,,,
hoisin sauce,6,,,,
ice cream sandwich,6,,,,
gizzard,6,,,,
beef noodle soup,6,,,,
m&m's milk chocolate candies (formerly m&m's plain chocolate candies),6,,,,
whipped topping,6,,,,
refried beans with cheese,6,,,,
cheesecake with fruit,6,,,,
cornmeal mush,6,,,,
beef brisket,6,,,,
coconut milk,6,,,,
hollandaise sauce,6,,,,
raw vegetable,6,,,,
broccoli slaw salad,6,,,,
bean and ham soup,6,,,,
bread stuffing,6,,,,
queso asadero,6,,,,
carry-out milk shake,6,,,,
pasta with cream sauce,6,,,,
potato tots,6,,,,
sesame oil,6,,,,
turnip,6,,,,
lamb,6,,,,
salami,6,,,,
mango nectar,6,,,,
breadsticks,6,,,,
puffed rice cake,6,,,,
chicken or turkey and vegetables including carrots,6,,,,
rice with beans w/ vegetable oil,6,,,,
coffee cake,6,,,,
garlic bread,6,,,,
soft taco with beef,6,,,,
double cheeseburger (2 patties),6,,,,
pita chips,6,,,,
"chicken ""wings""",6,,,,
lemon,6,,,,
chop suey,6,,,,
macaroni or noodles with cheese w/o fat,6,,,,
tamale with meat,6,,,,
chicken or turkey and rice,6,,,,
empanada,6,,,,
crepe,6,,,,
frankfurter,6,,,,
pastry,6,,,,
radicchio,6,,,,
pumpkin,6,,,,
cassava,5,,,,
turkey bacon,5,,,,
lamb chop,5,,,,
bread sticks,5,,,,
chives,5,,,,
pork skin,5,,,,
egg white omelet,5,,,,
goat,5,,,,
rice with peas,5,,,,
wheat,5,,,,
macaroni or noodles with cheese w/ butter,5,,,,
lentil soup,5,,,,
papaya juice,5,,,,
meat loaf,5,,,,
lasagna,5,,,,
noodle soup with vegetables,5,,,,
macaroni or noodles with cheese and egg,5,,,,
frankfurter or hot dog sandwich,5,,,,
rice with beans and pork w/o fat,5,,,,
poppy seed dressing,5,,,,
chicken or turkey and noodles with cheese sauce (mixture),5,,,,
almond chicken,5,,,,
hamburger,5,,,,
snowpeas (pea pod),5,,,,
pasta with tomato sauce,5,,,,
green banana,5,,,,
quesadilla with cheese,5,,,,
sesame chicken,5,,,,
sunny d,5,,,,
sorbet,5,,,,
sweet bread dough,5,,,,
pork vegetable soup with noodles,5,,,,
fruit and vegetable smoothie,5,,,,
stewed potatoes with tomatoes,5,,,,
spaghetti with tomato sauce and poultry,5,,,,
"chicken ""wings"" with hot sauce",5,,,,
sweet potato leaves,5,,,,
soy milk,5,,,,
coconut meat,5,,,,
kimchi,5,,,,
ham or pork,5,,,,
vegetable broth,5,,,,
brandy,5,,,,
wonton,5,,,,
ghee,5,,,,
chicken or turkey shish kabob with vegetables,5,,,,
meat,5,,,,
corn oil,5,,,,
chicken or turkey soup,5,,,,
cucumber salad made with cucumber and vinegar,5,,,,
cowpeas,5,,,,
beef and vegetables including carrots,5,,,,
dandelion greens,5,,,,
ratatouille,5,,,,
vegetable chips,5,,,,
yogurt dressing,4,,,,
pumpkin and/or squash seeds,4,,,,
jalapeno pepper,4,,,,
rockstar energy drink,4,,,,
pina colada,4,,,,
egg salad,4,,,,
corn chips,4,,,,
coconut milk (liquid expressed from grated coconut meat,4,,,,
snow cone,4,,,,
sushi roll,4,,,,
pasta with tomato-based sauce,4,,,,
chicken or turkey and vegetables excluding carrots,4,,,,
beef sausage,4,,,,
iced coffee,4,,,,
capri sun,4,,,,
date,4,,,,
moo goo gai pan,4,,,,
plum sauce,4,,,,
edamame,4,,,,
reese's peanut butter cup,4,,,,
maple syrup (100% maple),4,,,,
refried beans w/ vegetable oil,4,,,,
pasta with tomato-based sauce and meat,4,,,,
italian wedding soup,4,,,,
caramel,4,,,,
pomegranate juice,4,,,,
pretzel,4,,,,
strawberry milk,4,,,,
onion,4,,,,
fruit dressing,4,,,,
corn dog (frankfurter or hot dog with cornbread coating),4,,,,
lychee,4,,,,
tamale,4,,,,
pork and vegetables including carrots,4,,,,
pork vegetable soup with potato,4,,,,
enchilada sauce,4,,,,
fish stock,4,,,,
sandwich spread,4,,,,
potato pancake,4,,,,
queso anejo (aged mexican cheese),4,,,,
vegetable combinations (excluding carrots,4,,,,
pasta with pesto sauce,4,,,,
pasta with tomato sauce and cheese,4,,,,
broccoli casserole (broccoli,4,,,,
cheeseburger,4,,,,
fruit,4,,,,
pizza with meat other than pepperoni,4,,,,
green or yellow split peas,4,,,,
beef and rice noodle soup,4,,,,
lotus root,4,,,,
beef stew with potatoes and vegetables (including carrots,4,,,,
mixed fruit juice,4,,,,
chicken liver,4,,,,
chocolate-flavored sprinkles,4,,,,
nutritional drink or shake,4,,,,
marshmallow,4,,,,
shirley temple,4,,,,
fruit-flavored thirst quencher beverage,4,,,,
ranch dip,4,,,,
quail egg,4,,,,
gnocchi,4,,,,
pork chow mein or chop suey with noodles,4,,,,
french toast,4,,,,
fufu (african),4,,,,
carrot juice,4,,,,
quesadilla,4,,,,
pork and beef sausage,4,,,,
meat and corn hominy soup,4,,,,
tortellini,4,,,,
burrito with chicken,4,,,,
chicken or turkey and corn hominy soup,4,,,,
flavored rice and pasta mixture,4,,,,
minestrone soup,3,,,,
buttermilk,3,,,,
beef egg foo yung (young),3,,,,
chow fun noodles with vegetables,3,,,,
grapefruit juice,3,,,,
chicken or turkey cacciatore,3,,,,
ground beef patty,3,,,,
guava paste,3,,,,
squash fritter or cake,3,,,,
alfredo sauce,3,,,,
bratwurst,3,,,,
broccoli cheese soup,3,,,,
bean salad,3,,,,
macaroni and cheese with egg w/o fat,3,,,,
kung pao beef,3,,,,
mustard sauce,3,,,,
potato chowder,3,,,,
rice casserole with cheese,3,,,,
cocktail,3,,,,
chicken soup,3,,,,
vegetable and pasta combinations with cream or cheese sauce (broccoli,3,,,,
tripe,3,,,,
wasabi peas,3,,,,
vegetable noodle soup,3,,,,
gin and tonic,3,,,,
butter-margarine blend,3,,,,
sweet and sour dressing,3,,,,
white potato skins,3,,,,
bruschetta,3,,,,
pork skin rinds,3,,,,
pasta or macaroni salad with meat,3,,,,
breakfast bar,3,,,,
cafe con leche prepared with sugar,3,,,,
fruit flavored syrup used for milk beverages,3,,,,
multigrain mixture,3,,,,
cordial or liqueur,3,,,,
eggplant in tomato sauce,3,,,,
sauerkraut,3,,,,
taco or tostada with beans and cheese,3,,,,
burrito with chicken and beans,3,,,,
spinach and cheese casserole,3,,,,
vegetable stew without meat,3,,,,
sausage,3,,,,
waffle,3,,,,
chutney,3,,,,
carrot soup,3,,,,
basil,3,,,,
scrambled egg,3,,,,
cheeseburger with tomato and/or catsup,3,,,,
crispbread,3,,,,
froot loops,3,,,,
rum and cola,3,,,,
broccoli soup,3,,,,
honey-combed hard candy with peanut butter,3,,,,
cappuccino,3,,,,
chiles rellenos,3,,,,
coconut water,3,,,,
frozen daiquiri,3,,,,
almond milk,3,,,,
strawberry juice,3,,,,
baklava,3,,,,
corn flakes,3,,,,
seven and seven,3,,,,
quesadilla with poultry and cheese,3,,,,
beef with vegetables (excluding carrots,3,,,,
enfamil lipil,3,,,,
liver paste or pate,3,,,,
tomato juice,3,,,,
russian dressing,3,,,,
beef with tomato-based sauce (mixture),3,,,,
protein powder,3,,,,
dasheen,3,,,,
chicken feet,3,,,,
soft taco with meat,3,,,,
rice pilaf w/o fat,3,,,,
cape cod,3,,,,
miso (fermented soybean paste),3,,,,
pepperoni,3,,,,
ham or pork with barbecue sauce,3,,,,
danish pastry,3,,,,
tomato noodle soup,3,,,,
chicken broth,3,,,,
pumpkin seeds,3,,,,
burrito with beans,3,,,,
wine cooler,3,,,,
tomato and okra,3,,,,
meat loaf made with ham (not luncheon meat),3,,,,
caramel candy,3,,,,
instant soup,3,,,,
marmalade,3,,,,
chicken or turkey with teriyaki,3,,,,
energy drink,3,,,,
fat free ice cream,3,,,,
cereal,3,,,,
bulgur,3,,,,
mojito,3,,,,
sweetpotato and pumpkin casserole,3,,,,
salisbury steak with gravy (mixture),3,,,,
fudge,3,,,,
melba toast,3,,,,
pear juice,3,,,,
flax seeds,3,,,,
beef liver,3,,,,
burrito with beans and rice,3,,,,
chicken skin,3,,,,
berries,3,,,,
vodka flavored pasta sauce made with tomatoes and cream,3,,,,
glaceau water,3,,,,
cornmeal dressing with chicken or turkey and vegetables,3,,,,
potato salad with egg w/ mayonnaise-type salad dressing (include miracle whip),3,,,,
spanakopitta,3,,,,
mixed cereal,2,,,,
3 musketeers bar,2,,,,
gelatin dessert with whipped cream,2,,,,
tomato juice with clam or beef juice,2,,,,
crisp,2,,,,
barley soup,2,,,,
radishes,2,,,,
thuringer,2,,,,
spaghetti sauce with vegetables,2,,,,
meat loaf made with chicken or turkey,2,,,,
honey butter,2,,,,
cucumber salad,2,,,,
pine nuts (pignolias),2,,,,
nut mixture with dried fruit and seeds,2,,,,
flowers or blossoms of sesbania,2,,,,
milky way bar,2,,,,
toffee,2,,,,
jicama,2,,,,
liqueur with cream,2,,,,
pasta with carbonara sauce,2,,,,
taco or tostada with beef,2,,,,
starchy vegetables,2,,,,
ice cream cookie sandwich,2,,,,
alfalfa sprouts,2,,,,
spinach quiche,2,,,,
cream puff,2,,,,
rutabaga,2,,,,
taco or tostada with chicken,2,,,,
sesame sauce,2,,,,
nature valley crunchy granola bar,2,,,,
nonalcoholic malt beverage,2,,,,
cashews,2,,,,
dressing with meat and vegetables,2,,,,
spaghetti sauce with beef or meat other than lamb or mutton,2,,,,
sopa de tortilla,2,,,,
spinach soup,2,,,,
twix caramel cookie bars (formerly twix cookie bars),2,,,,
vegetable chicken or turkey soup,2,,,,
pickles,2,,,,
cheese flavored corn snacks (cheetos),2,,,,
smoked link sausage,2,,,,
naan,2,,,,
pistachio nuts,2,,,,
peach nectar,2,,,,
guava nectar,2,,,,
macaroni or pasta salad with cheese w/ italian dressing,2,,,,
iced tea / lemonade juice drink,2,,,,
pork and onions with soy-based sauce (mixture),2,,,,
water chestnut,2,,,,
fruit leather and fruit snacks candy,2,,,,
propel water,2,,,,
cocoa powder,2,,,,
coconut oil,2,,,,
taquitos with meat,2,,,,
flavored rice and pasta mixture w/ butter,2,,,,
sports drink (gatorade g),2,,,,
tangerine juice,2,,,,
beef steak with onions,2,,,,
granola bar,2,,,,
chicken or turkey and rice with soy-based sauce (mixture),2,,,,
gelatin dessert with sour cream,2,,,,
christophine,2,,,,
alcoholic malt beverage,2,,,,
vermicelli,2,,,,
spinach and artichoke dip,2,,,,
apricot,2,,,,
chocolate beverage powder,2,,,,
zucchini with tomato sauce,2,,,,
skittles,2,,,,
screwdriver,2,,,,
soft taco with chicken,2,,,,
sprouts,2,,,,
chips,2,,,,
cake made with glutinous rice and dried beans,2,,,,
prune,2,,,,
kit kat,2,,,,
fruit sauce,2,,,,
protein supplement,2,,,,
licorice,2,,,,
rice pudding made with coconut milk,2,,,,
cabbage with meat soup,2,,,,
pigeon pea asopao (asopao de gandules),2,,,,
beef chow mein or chop suey,2,,,,
turnover,2,,,,
beef pot pie,2,,,,
macaroni or pasta salad with egg,2,,,,
burrito with rice,2,,,,
meat and rice noodle soup,2,,,,
chicken soup with noodles and potatoes,2,,,,
frosted flakes,2,,,,
chicken or turkey salad with nuts and/or fruits,2,,,,
chicken rice soup,2,,,,
fruit punch,2,,,,
pigeon peas,2,,,,
fruit juice bar,2,,,,
burrito with beef,2,,,,
swedish meatballs with cream or white sauce (mixture),2,,,,
natto (fermented soybean product),2,,,,
vienna sausages stewed with potatoes,2,,,,
hot chocolate / cocoa,2,,,,
vegetable combination (green beans,2,,,,
chicken or turkey vegetable soup with rice,2,,,,
sweet and sour soup,2,,,,
mexican style chicken broth soup stock,2,,,,
macaroni or pasta salad with cheese w/o dressing,2,,,,
fennel bulb,2,,,,
chicken or turkey pot pie,2,,,,
pasta with tomato sauce and meat or meatballs,2,,,,
cocoa,2,,,,
taro leaves,2,,,,
chimichanga with beef,2,,,,
chard,2,,,,
peas and corn,2,,,,
stuffed pepper,2,,,,
lobster sauce (broth-based),2,,,,
